,id,type,title,director,country,release_year,rating,genre,duration_in_min,duration_in_seasons
1898,1898,Movie,Late Bloomers,Julia Dyer,Italy,1996,18+,"Comedy, LGBTQ",107,0
1899,1899,Movie,Last Rampage,Dwight Little,Italy,2017,17+,"Action, Adventure, Suspense",92,0
1900,1900,TV Show,Lano & Woodley: Fly,Unknown,Italy,2020,16+,"Comedy, Talk Show and Variety",0,1
1901,1901,Movie,LANDLINE,Gillian Robespierre,Italy,2017,17+,Comedy,97,0
1902,1902,TV Show,Land of the Lustrous,Unknown,Italy,2017,14+,"Action, Adventure, Anime",0,1
1903,1903,Movie,Lake Effects,Michael McKay,Italy,2020,13+,Drama,96,0
1904,1904,Movie,Ladybugs,Sidney Furie,Italy,1992,13+,"Comedy, Sports",90,0
1905,1905,TV Show,Ladyboys: Inside Thailand's Third Gender,Unknown,Italy,2014,18+,"Documentary, International",0,1
1906,1906,Movie,Lady Valor: The Kristin Beck Story,"Mark Herzog, Sandrine Orabona",Italy,2014,16+,"Documentary, Special Interest",84,0
1907,1907,Movie,Lady in the Death House,Steve Sekely,Italy,1944,18+,"Drama, Suspense",59,0
1908,1908,Movie,Lady Behave!,Lloyd Corrigan,Italy,1937,13+,Comedy,59,0
1909,1909,Movie,Ladies in Lavender,Charles Dance,Italy,2004,13+,"Comedy, Drama, Romance",104,0
1910,1910,TV Show,Labyrinth,Unknown,Italy,2014,14+,Science Fiction,0,1
1911,1911,Movie,Laal Kaptaan,Navdeep Singh,Italy,2019,18+,"Action, International",153,0
1912,1912,TV Show,Laakhon Mein Ek (Telugu),Unknown,Italy,2019,UNRATED,"Comedy, Drama",0,2
1913,1913,TV Show,Laakhon Mein Ek (Tamil),Unknown,Italy,2019,UNRATED,"Comedy, Drama",0,2
1914,1914,TV Show,Laakhon Mein Ek,Unknown,Italy,2019,UNRATED,TV Shows,0,2
1915,1915,TV Show,La Usurpadora,Unknown,Italy,2019,16+,TV Shows,0,1
1916,1916,TV Show,L.A. Burning: The Riots 25 Years Later,Unknown,Italy,2017,14+,TV Shows,0,1
1917,1917,Movie,Kung Fu Punch of Death,Chai Min,Italy,2007,17+,Action,90,0
1918,1918,TV Show,Kung Fu Panda: The Paws of Destiny,Unknown,United States,2019,7+,Kids,0,2
1919,1919,TV Show,Kung Food,Unknown,Italy,2011,7+,Kids,0,1
1920,1920,Movie,Kshay,Karan Gour,Italy,2012,UNRATED,Drama,92,0
1921,1921,Movie,KROOS (4K UHD),Manfred Oldenburg,Germany,2019,0+,"Documentary, Special Interest",114,0
1922,1922,Movie,KROOS,Manfred Oldenburg,Germany,2019,13+,"Documentary, Special Interest",114,0
1923,1923,TV Show,Kristal Clear,Unknown,Italy,2018,13+,TV Shows,0,1
1924,1924,TV Show,Kratts' Creatures,Unknown,Italy,1996,0+,"Documentary, Kids",0,1
1925,1925,TV Show,KOKKOKU,Unknown,Italy,2018,UNRATED,TV Shows,0,1
1926,1926,Movie,Know Fear,Jamison M. LoCascio,Italy,2021,16+,Horror,78,0
1927,1927,Movie,Knockout,Anne Wheeler,Italy,2011,0+,Action,95,0
1928,1928,Movie,Knock Off,Hark Tsui,Italy,1998,17+,"Action, Suspense",91,0
1929,1929,TV Show,Knock Knock Ghost,Unknown,Italy,2018,16+,TV Shows,0,2
1930,1930,Movie,Knights of Badassdom,Joe Lynch,United States,2014,17+,"Action, Comedy, Fantasy",86,0
1931,1931,Movie,Kingdom of Conquerors,Wang Ping,Italy,2014,13+,"Action, Adventure, Drama",100,0
1932,1932,TV Show,King Gary,Unknown,Italy,2020,10+,Comedy,0,1
1933,1933,Movie,King Arthur's Lost Kingdom,Kenny Scott,Italy,2019,13+,Documentary,55,0
1934,1934,Movie,Kindness Matters,Craig McMahon,Italy,2018,7+,"Drama, Faith and Spirituality, Kids",102,0
1935,1935,TV Show,Kimchi Chronicles,Unknown,Italy,2020,7+,"Documentary, Special Interest",0,1
1936,1936,Movie,Kilroy,Chris Bollinger,Italy,2021,16+,"Documentary, Drama",87,0
1937,1937,Movie,Killing Oswald,Shane O'Sullivan,Italy,2013,13+,"Documentary, Special Interest",53,0
1938,1938,TV Show,KILLING BITES,Unknown,Italy,2018,UNRATED,TV Shows,0,1
1939,1939,TV Show,Killer Mysteries,Unknown,Italy,2018,17+,"Documentary, Suspense",0,1
1940,1940,TV Show,Killer IQ: Lion vs. Hyena,Unknown,Italy,2015,10+,Special Interest,0,1
1941,1941,Movie,Kill Order,James Mark,Italy,2017,16+,Science Fiction,77,0
1942,1942,Movie,KiiYii - London Bridge Is Falling Down & More Classic Nursery Rhymes,Moonbug Entertainment,Italy,2020,ALL,Kids,28,0
1943,1943,Movie,KiiYii - Learn ABCs 123s & More Nursery Rhymes for Kids,Moonbug Entertainment,Italy,2020,ALL,Kids,30,0
1944,1944,Movie,KiiYii - Humpty Dumpty & More Classic Kids Songs,Moonbug Entertainment,Italy,2020,ALL,Kids,26,0
1945,1945,Movie,Kids Puppet Show,"Damien Eckhardt-Jacobi, Vincent Bova",Italy,2019,7+,"Comedy, Kids",30,0
1946,1946,TV Show,Kids Behind Bars: Life or Parole,Unknown,Italy,2019,14+,TV Shows,0,1
1947,1947,TV Show,Kidnapping,Unknown,Italy,2017,16+,TV Shows,0,1
1948,1948,Movie,Kickboxer 3: The Art of War,Rick King,Italy,1992,17+,"Action, Sports, Suspense",92,0
1949,1949,Movie,Khuda kasam,K C Bokadia,Italy,2010,13+,Action,123,0
1950,1950,Movie,"Kevin Smith: Silent, But Deadly (Extended Edition)","Brian Volk-Weiss, Gil Cunha",Italy,2018,13+,"Arts, Entertainment, and Culture, Comedy, Documentary",85,0
1951,1951,Movie,"Kevin Nealon: Whelmed, But Not Overly",Jay Chapman,Italy,2012,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",57,0
1952,1952,Movie,Kevin James Doyle: The 30 Year Old Virgin,Cory Cavin,Italy,2020,18+,"Arts, Entertainment, and Culture, Comedy",81,0
1953,1953,Movie,Kevin Hart Presents: Plastic Cup Boyz,Jay Chapman,Italy,2014,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",83,0
1954,1954,Movie,Kevin Hart Presents: Keith Robinson - Back of the Bus Funny,Leslie Small,Italy,2014,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",68,0
1955,1955,Movie,Kesari,Anurag Singh,India,2019,16+,"Action, Drama, Historical",153,0
1956,1956,Movie,Kentucky Fried Movie,John Landis,Italy,1977,18+,Comedy,83,0
1957,1957,TV Show,KenIchi: The Mightiest Disciple (English Dub),Unknown,Italy,2007,13+,"Action, Animation, Anime",0,4
1958,1958,TV Show,Kemurikusa.,Unknown,Italy,2019,UNRATED,TV Shows,0,1
1959,1959,Movie,Kathleen Madigan: Madigan Again,Jay Chapman,Italy,2013,18+,"Arts, Entertainment, and Culture, Comedy, Special Interest",65,0
1960,1960,Movie,Katherine,Jeremy Kagan,Italy,1975,13+,Drama,97,0
1961,1961,Movie,Katha Sangama,"Chandrajith Belliappa, Karan Ananth, Shashi Kumar, Rahul PK, Jamadagni Manoj, Kiranraj K, Jai Shankar A",Italy,2019,13+,International,154,0
1962,1962,TV Show,Kashmir The Story,Unknown,Italy,2018,13+,TV Shows,0,1
1963,1963,Movie,Karma,Joy Rosalyn,Italy,2018,13+,Suspense,127,0
1964,1964,TV Show,Karakuri Circus,Unknown,Italy,2019,UNRATED,TV Shows,0,1
1965,1965,Movie,Kapatadhaari (4K UHD),Pradeep Krishnamoorthy,India,2021,13+,Suspense,137,0
1966,1966,Movie,Kapatadhaari,Pradeep Krishnamoorthy,India,2021,UNRATED,Suspense,137,0
1967,1967,Movie,Kanye West: A Higher Power,Brian Aabech,Italy,2020,16+,Documentary,58,0
1968,1968,Movie,Kanji Ishiwara: The Man Who Triggered the War,Paul Jenkins,Italy,2018,ALL,"Documentary, Special Interest",52,0
1969,1969,Movie,Kandam,Pras Lingam,Italy,2020,16+,Science Fiction,60,0
1970,1970,Movie,Kalank,Abhishek Varman,India,2019,13+,"Drama, International, Romance",166,0
1971,1971,Movie,Kaka Ji - Son of Royal Sardar,Mandeep Benipal,India,2019,13+,"Comedy, Drama, Romance",123,0
1972,1972,TV Show,Kaijudo: Rise of the Duel Masters,Unknown,Italy,2013,7+,"Animation, Kids",0,1
1973,1973,Movie,Kadaikutty Singam,Pandiraj,India,2018,ALL,"Action, Adventure, Drama",148,0
1974,1974,TV Show,Kabukibu!,Unknown,Italy,2017,14+,"Anime, Comedy, International",0,1
1975,1975,TV Show,Kabaneri of the Iron Fortress (Original Japanese Version) (English Subtitled),Unknown,Italy,2016,17+,Anime,0,1
1976,1976,Movie,Kabadadaari (4K UHD),Pradeep Krishnamoorthy,India,2021,16+,Suspense,137,0
1977,1977,Movie,Kabadadaari,Pradeep Krishnamoorthy,India,2021,16+,Suspense,137,0
1978,1978,Movie,Kaappaan,K V Anand,Italy,2019,13+,"Action, International",164,0
1979,1979,Movie,Kaala (Telugu),Pa.Ranjith,Italy,2018,13+,"Action, Adventure, International",160,0
1980,1980,Movie,Kaala (Tamil),Pa.Ranjith,Italy,2018,13+,"Action, Adventure, International",161,0
1981,1981,Movie,Kaala (Malayalam),Pa.Ranjith,Italy,2018,13+,"Action, Adventure, Kids",161,0
1982,1982,Movie,Kaafi Filmy,Omar Iyer,India,2018,16+,"Arts, Entertainment, and Culture",53,0
1983,1983,Movie,K.G.F: Chapter 1 (Telugu),Prashanth Neel,Italy,2018,13+,"Action, International",155,0
1984,1984,Movie,K.G.F: Chapter 1 (Tamil),Prashanth Neel,Italy,2018,13+,"Action, International",155,0
1985,1985,Movie,K.G.F: Chapter 1 (Malayalam),Prashanth Neel,Italy,2018,13+,"Action, International",154,0
1986,1986,Movie,K.G.F: Chapter 1 (Kannada),Prashanth Neel,Italy,2018,13+,"Action, International",155,0
1987,1987,Movie,Just Friends,Ellen Smit,Italy,2019,18+,"Comedy, LGBTQ",84,0
1988,1988,Movie,Just Charlie,Rebekah Fortune,Italy,2018,13+,Drama,100,0
1989,1989,TV Show,Just Add Magic: Mystery City,Unknown,Italy,2020,ALL,"Animation, Kids",0,1
1990,1990,TV Show,Just Add Magic,Unknown,Italy,2019,ALL,Kids,0,5
1991,1991,Movie,Jury Of Our Peers,Ruhkiya S. Williams,Italy,2018,18+,Drama,94,0
